Rizal Commercial Banking Corp. A,RCB,Banking
RL Commercial REIT Inc.,RCR,Industrial/Office REITs
Robinsons Land Corp.,RLC,Real Estate Developers
Robinsons Retail Holdings Inc.,RRHI,Mixed Retailing
Rockwell Land Corp.,ROCK,Real Estate Developers
Roxas & Co. Inc.,RCI,Food Products
San Miguel Corp.,SMC,Oil & Gas Products/Services
San Miguel Corp. 6.3355% Pfd.,SMC2I,Oil & Gas Products/Services
San Miguel Corp. 6.8072% Pfd.,SMC2F,Oil & Gas Products/Services
San Miguel Corp. Pfd.,SMC2J,Oil & Gas Products/Services
San Miguel Corp. Pfd.,SMC2K,Oil & Gas Products/Services
San Miguel Corp. Pfd. 2L,SMC2L,Oil & Gas Products/Services
San Miguel Corp. Pfd. 2N,SMC2N,Oil & Gas Products/Services
San Miguel Corp. Pfd. 2O,SMC2O,Oil & Gas Products/Services
San Miguel Food & Beverage Inc.,FB,Food Products
SBS Philippines Corp.,SBS,Chemicals
Security Bank Corp.,SECB,Banking
Semirara Mining & Power Corp.,SCC,Coal
Shakey's Pizza Asia Ventures Inc.,PIZZA,Restaurants
Shang Properties Inc.,SHNG,Real Estate Developers
Shell Pilipinas Corp.,SHLPH,Upstream Oil & Gas
SM Investments Corp.,SM,Mixed Retailing
SM Prime Holdings Inc.,SMPH,Mixed Retailing
Solid Group Inc.,SGI,Networking
SP New Energy Corp.,SPNEC,Renewable Energy Generation
SPC Power Corp.,SPC,Electric Utilities
SSI Group Inc.,SSI,Clothing Retail
Sta. Lucia Land Inc.,SLI,Real Estate Developers
Steniel Manufacturing Corp.,STN,Containers/Packaging
STI Education Systems Holdings Inc.,STI,Consumer Services
Sun Life Financial Inc.,SLF,Life Insurance
Suntrust Resort Holdings Inc.,SUN,Real Estate Developers
Swift Foods Inc.,SFI,Food Products
Synergy Grid & Development Philippines Inc.,SGP,Diversified Business Services
TKC Metals Corp.,T,Iron/Steel
Top Frontier Investment Holdings Inc.,TFHI,Diversified Holding Companies
Top Line Business Development Corp.,TOP,Wholesalers
Transpacific Broadband Group International Inc.,TBGI,Internet/Online
Uniholdings Inc.,UNH,Chemicals
Union Bank of the Philippines,UBP,Banking
United Paragon Mining Corp.,UPM,General Mining
Universal Robina Corp.,URC,Food Products
Upson International Corp.,UPSON,Home Goods Retail
Vantage Equities Inc.,V,Finance Companies
Victorias Milling Co. Inc.,VMC,Food Products
Vista Land & Lifescapes Inc.,VLL,Real Estate Developers
Vista Land & Lifescapes Inc. Series 2A Pfd,VLL2A,Real Estate Developers
Vista Land & Lifescapes Inc. Series 2B Pfd,VLL2B,Real Estate Developers
Vistamalls Inc.,STR,Real Estate Developers
VistaREIT Inc.,VREIT,Diversified REITs
Vitarich Corp.,VITA,Farming
Vivant Corp.,VVT,Electric Utilities
Waterfront Philippines Inc.,WPI,Hotels
Wellex Industries Inc.,WIN,Upstream Oil & Gas
Wilcon Depot Inc.,WLCON,Home Goods Retail
Xurpas Inc.,X,Software
Zeus Holdings Inc.,ZHI,Diversified Holding Companies
