TFHI,Top Frontier Investment Holdings Inc.,Diversified Holding Companies
TOP,Top Line Business Development Corp.,Wholesalers
TBGI,Transpacific Broadband Group International Inc.,Internet/Online
UNH,Uniholdings Inc.,Chemicals
UBP,Union Bank of the Philippines,Banking
UPM,United Paragon Mining Corp.,General Mining
URC,Universal Robina Corp.,Food Products
UPSON,Upson International Corp.,Home Goods Retail
V,Vantage Equities Inc.,Finance Companies
VMC,Victorias Milling Co. Inc.,Food Products
VLL,Vista Land & Lifescapes Inc.,Real Estate Developers
VLL2A,Vista Land & Lifescapes Inc. Series 2A Pfd,Real Estate Developers
VLL2B,Vista Land & Lifescapes Inc. Series 2B Pfd,Real Estate Developers
STR,Vistamalls Inc.,Real Estate Developers
VREIT,VistaREIT Inc.,Diversified REITs
VITA,Vitarich Corp.,Farming
VVT,Vivant Corp.,Electric Utilities
WPI,Waterfront Philippines Inc.,Hotels
WIN,Wellex Industries Inc.,Upstream Oil & Gas
WLCON,Wilcon Depot Inc.,Home Goods Retail
X,Xurpas Inc.,Software
ZHI,Zeus Holdings Inc.,Diversified Holding Companies
